18-08-2019:11:34:30,255 INFO [test_1.py:23] 连接成功
18-08-2019:11:34:36,331 INFO [test_1.py:28] 账号：124356
18-08-2019:11:34:52,517 INFO [test_1.py:34] 密码输入正确
18-08-2019:11:35:01,4 INFO [test_1.py:39] 成功登录
18-08-2019:11:35:08,424 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:11:35:10,812 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:11:35:12,361 INFO [test_1.py:54] 跳转成功
18-08-2019:11:35:17,787 INFO [test_1.py:61] 滑动成功
18-08-2019:11:35:17,973 INFO [test_1.py:65] 点击菜单栏成功跳转界面
18-08-2019:11:36:33,668 INFO [test_1.py:23] 连接成功
18-08-2019:11:36:39,276 INFO [test_1.py:28] 账号：124356
18-08-2019:11:36:55,270 INFO [test_1.py:34] 密码输入正确
18-08-2019:11:37:03,752 INFO [test_1.py:39] 成功登录
18-08-2019:11:37:11,183 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:11:37:13,452 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:11:37:15,0 INFO [test_1.py:54] 跳转成功
18-08-2019:11:37:20,372 INFO [test_1.py:61] 滑动成功
18-08-2019:11:37:20,576 INFO [test_1.py:65] 点击菜单栏成功跳转界面
18-08-2019:13:53:40,219 INFO [test_1.py:23] 连接成功
18-08-2019:13:53:45,875 INFO [test_1.py:28] 账号输入成功
18-08-2019:13:54:01,743 INFO [test_1.py:34] 密码输入正确
18-08-2019:13:54:11,336 INFO [test_1.py:39] 成功登录
18-08-2019:13:54:18,844 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:13:54:21,89 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:13:54:22,238 INFO [test_1.py:54] 跳转成功
18-08-2019:13:54:27,682 INFO [test_1.py:61] 滑动成功
18-08-2019:13:54:27,930 INFO [test_1.py:65] 点击菜单栏成功跳转界面
18-08-2019:14:06:18,534 INFO [test_1.py:23] 连接成功
18-08-2019:14:06:24,167 INFO [test_1.py:28] 账号输入成功
18-08-2019:14:06:39,933 INFO [test_1.py:34] 密码输入正确
18-08-2019:14:06:48,415 INFO [test_1.py:39] 成功登录
18-08-2019:14:06:55,816 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:14:06:58,87 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:14:06:59,632 INFO [test_1.py:54] 跳转成功
18-08-2019:14:07:05,101 INFO [test_1.py:61] 滑动成功
18-08-2019:14:07:05,265 INFO [test_1.py:65] 点击菜单栏成功跳转界面
18-08-2019:15:38:24,495 INFO [test_1.py:23] 连接成功
18-08-2019:15:38:30,131 INFO [test_1.py:28] 账号输入成功
18-08-2019:15:38:46,103 INFO [test_1.py:34] 密码输入正确
18-08-2019:15:38:55,456 INFO [test_1.py:39] 成功登录
18-08-2019:15:39:03,40 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:15:39:05,291 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:15:39:06,558 INFO [test_1.py:54] 跳转成功
18-08-2019:15:39:14,431 INFO [test_1.py:63] 滑动成功
18-08-2019:15:40:27,48 INFO [test_1.py:23] 连接成功
18-08-2019:15:40:33,144 INFO [test_1.py:28] 账号输入成功
18-08-2019:15:40:49,84 INFO [test_1.py:34] 密码输入正确
18-08-2019:15:40:58,434 INFO [test_1.py:39] 成功登录
18-08-2019:15:41:05,973 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:15:41:08,228 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:15:41:09,291 INFO [test_1.py:54] 跳转成功
18-08-2019:15:41:17,200 INFO [test_1.py:63] 滑动成功
18-08-2019:15:41:18,280 INFO [test_1.py:69] 成功进入编辑资料页面
18-08-2019:15:41:19,281 INFO [test_1.py:75] 更换相册
18-08-2019:15:51:28,377 INFO [test_1.py:23] 连接成功
18-08-2019:15:51:33,983 INFO [test_1.py:28] 账号输入成功
18-08-2019:15:51:49,807 INFO [test_1.py:34] 密码输入正确
18-08-2019:15:51:59,198 INFO [test_1.py:39] 成功登录
18-08-2019:15:52:06,718 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:15:52:08,976 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:15:52:10,236 INFO [test_1.py:54] 跳转成功
18-08-2019:15:52:18,53 INFO [test_1.py:63] 滑动成功
18-08-2019:15:52:19,140 INFO [test_1.py:69] 成功进入编辑资料页面
18-08-2019:15:52:20,24 INFO [test_1.py:75] 更换相册
18-08-2019:16:18:03,816 INFO [test_1.py:23] 连接成功
18-08-2019:16:18:09,442 INFO [test_1.py:28] 账号输入成功
18-08-2019:16:18:25,228 INFO [test_1.py:34] 密码输入正确
18-08-2019:16:18:34,687 INFO [test_1.py:39] 成功登录
18-08-2019:16:18:42,222 INFO [test_1.py:46] 登录成功之后向上滑动成功
18-08-2019:16:18:44,494 INFO [test_1.py:49] 登录成功之后向下滑动成功
18-08-2019:16:18:45,794 INFO [test_1.py:54] 跳转成功
18-08-2019:16:18:53,653 INFO [test_1.py:63] 滑动成功
