17-08-2019:10:16:03,744 INFO [mylog.py:51] 6666
17-08-2019:10:16:23,369 INFO [mylog.py:51] 6666
17-08-2019:10:16:58,138 INFO [mylog.py:52] 6666
17-08-2019:10:17:58,258 INFO [mylog.py:51] 6666
17-08-2019:10:19:17,154 INFO [mylog.py:51] 6666
17-08-2019:10:19:26,577 INFO [mylog.py:51] 6666
17-08-2019:10:19:27,779 INFO [mylog.py:51] 6666
17-08-2019:10:19:28,690 INFO [mylog.py:51] 6666
17-08-2019:10:20:15,238 INFO [mylog.py:51] zwerxtcyvubinomodfgh
17-08-2019:10:21:01,585 INFO [mylog.py:51] zwerxtcyvubinomodfgh
17-08-2019:10:21:01,585 ERROR [mylog.py:53] asfrewafrewrfewrwe
