26-08-2019:10:01:35,295 INFO [test_1.py:15] 连接成功，并且最大化
26-08-2019:10:01:38,353 INFO [test_1.py:18] 选择账号密码登录
26-08-2019:10:01:38,438 INFO [test_1.py:20] 切换框架成功
26-08-2019:10:01:38,554 INFO [test_1.py:22] 账号输入成功
26-08-2019:10:01:38,648 INFO [test_1.py:24] 密码输入成功
26-08-2019:10:01:41,744 INFO [test_1.py:27] 登录成功
26-08-2019:10:01:56,783 INFO [test_1.py:31] 填写收件人成功
26-08-2019:10:01:59,889 INFO [test_1.py:34] 主题填写成功
26-08-2019:10:02:03,194 INFO [test_1.py:40] 发送成功
26-08-2019:21:30:55,285 INFO [test_2.py:18] 进入主播入口
26-08-2019:21:37:21,593 INFO [test_2.py:18] 进入主播入口
26-08-2019:21:37:22,629 INFO [test_2.py:26] 切换窗口成功
26-08-2019:21:39:31,155 INFO [test_2.py:18] 进入主播入口
26-08-2019:21:39:32,197 INFO [test_2.py:26] 切换窗口成功
26-08-2019:21:39:38,374 INFO [test_2.py:37] 登陆成功
26-08-2019:21:40:26,228 INFO [test_2.py:18] 进入主播入口
26-08-2019:21:40:27,735 INFO [test_2.py:26] 切换窗口成功
26-08-2019:21:40:29,679 INFO [test_2.py:34] 登陆成功
