31-08-2019:11:06:43,167 INFO [test_2.py:15] 进入主播入口
31-08-2019:11:06:44,214 INFO [test_2.py:22] 切换窗口成功
31-08-2019:11:06:46,523 INFO [test_2.py:29] 登陆成功
31-08-2019:11:09:12,960 INFO [test_2.py:15] 进入主播入口
31-08-2019:11:09:14,47 INFO [test_2.py:22] 切换窗口成功
31-08-2019:11:09:15,921 INFO [test_2.py:29] 登陆成功
31-08-2019:11:10:21,374 INFO [test_1.py:15] 连接成功，并且最大化
31-08-2019:11:10:24,689 INFO [test_1.py:18] 选择账号密码登录
31-08-2019:11:10:24,776 INFO [test_1.py:20] 切换框架成功
31-08-2019:11:10:24,907 INFO [test_1.py:22] 账号输入成功
31-08-2019:11:10:25,7 INFO [test_1.py:24] 密码输入成功
31-08-2019:11:10:28,107 INFO [test_1.py:27] 登录成功
31-08-2019:11:10:45,766 INFO [test_1.py:31] 填写收件人成功
31-08-2019:11:10:48,865 INFO [test_1.py:34] 主题填写成功
31-08-2019:11:10:52,124 INFO [test_1.py:40] 发送成功
